predecessor_geoid,successor_geoid,weight_basis,share_of_predecessor,share_of_new_region,population_weight_basis,population_share_of_predecessor,population_share_of_new_region,case,note
09001,09120,town_land_area,0.224305,1.0,town_population_2020,0.340267,1.0,CT_2022_planning_regions,"Connecticut's 8 counties were replaced by 9 county-equivalent planning regions in 2022. Genuinely many-to-many (e.g. Naugatuck Valley draws towns from 4 old counties). Area weights built from CT-Data-Collaborative's town-level crosswalk + TIGER 2025 town land area. Population weights (population_share_of_predecessor/population_share_of_new_region, added 2026-07) use the same CT-Data-Collaborative crosswalk, weighted instead by each town's 2020 Census total population (P.L. 94-171 Redistricting File, POP100 field, downloaded unauthenticated from www2.census.gov -- no Census API key needed). The original area-based weight_basis/share columns are left unchanged for consumers where land-area weighting is the appropriate basis (e.g. land-use allocation)."
09001,09140,town_land_area,0.04901,0.074207,town_population_2020,0.042687,0.090744,CT_2022_planning_regions,"Connecticut's 8 counties were replaced by 9 county-equivalent planning regions in 2022. Genuinely many-to-many (e.g. Naugatuck Valley draws towns from 4 old counties). Area weights built from CT-Data-Collaborative's town-level crosswalk + TIGER 2025 town land area. Population weights (population_share_of_predecessor/population_share_of_new_region, added 2026-07) use the same CT-Data-Collaborative crosswalk, weighted instead by each town's 2020 Census total population (P.L. 94-171 Redistricting File, POP100 field, downloaded unauthenticated from www2.census.gov -- no Census API key needed). The original area-based weight_basis/share columns are left unchanged for consumers where land-area weighting is the appropriate basis (e.g. land-use allocation)."
09001,09190,town_land_area,0.726686,0.853492,town_population_2020,0.617046,0.952015,CT_2022_planning_regions,"Connecticut's 8 counties were replaced by 9 county-equivalent planning regions in 2022. Genuinely many-to-many (e.g. Naugatuck Valley draws towns from 4 old counties). Area weights built from CT-Data-Collaborative's town-level crosswalk + TIGER 2025 town land area. Population weights (population_share_of_predecessor/population_share_of_new_region, added 2026-07) use the same CT-Data-Collaborative crosswalk, weighted instead by each town's 2020 Census total population (P.L. 94-171 Redistricting File, POP100 field, downloaded unauthenticated from www2.census.gov -- no Census API key needed). The original area-based weight_basis/share columns are left unchanged for consumers where land-area weighting is the appropriate basis (e.g. land-use allocation)."
09003,09110,town_land_area,0.878771,0.62865,town_population_2020,0.919674,0.847372,CT_2022_planning_regions,"Connecticut's 8 counties were replaced by 9 county-equivalent planning regions in 2022. Genuinely many-to-many (e.g. Naugatuck Valley draws towns from 4 old counties). Area weights built from CT-Data-Collaborative's town-level crosswalk + TIGER 2025 town land area. Population weights (population_share_of_predecessor/population_share_of_new_region, added 2026-07) use the same CT-Data-Collaborative crosswalk, weighted instead by each town's 2020 Census total population (P.L. 94-171 Redistricting File, POP100 field, downloaded unauthenticated from www2.census.gov -- no Census API key needed). The original area-based weight_basis/share columns are left unchanged for consumers where land-area weighting is the appropriate basis (e.g. land-use allocation)."
09003,09140,town_land_area,0.03592,0.063954,town_population_2020,0.06763,0.135072,CT_2022_planning_regions,"Connecticut's 8 counties were replaced by 9 county-equivalent planning regions in 2022. Genuinely many-to-many (e.g. Naugatuck Valley draws towns from 4 old counties). Area weights built from CT-Data-Collaborative's town-level crosswalk + TIGER 2025 town land area. Population weights (population_share_of_predecessor/population_share_of_new_region, added 2026-07) use the same CT-Data-Collaborative crosswalk, weighted instead by each town's 2020 Census total population (P.L. 94-171 Redistricting File, POP100 field, downloaded unauthenticated from www2.census.gov -- no Census API key needed). The original area-based weight_basis/share columns are left unchanged for consumers where land-area weighting is the appropriate basis (e.g. land-use allocation)."
09003,09160,town_land_area,0.085308,0.079702,town_population_2020,0.012696,0.101508,CT_2022_planning_regions,"Connecticut's 8 counties were replaced by 9 county-equivalent planning regions in 2022. Genuinely many-to-many (e.g. Naugatuck Valley draws towns from 4 old counties). Area weights built from CT-Data-Collaborative's town-level crosswalk + TIGER 2025 town land area. Population weights (population_share_of_predecessor/population_share_of_new_region, added 2026-07) use the same CT-Data-Collaborative crosswalk, weighted instead by each town's 2020 Census total population (P.L. 94-171 Redistricting File, POP100 field, downloaded unauthenticated from www2.census.gov -- no Census API key needed). The original area-based weight_basis/share columns are left unchanged for consumers where land-area weighting is the appropriate basis (e.g. land-use allocation)."
09005,09140,town_land_area,0.128856,0.287355,town_population_2020,0.293359,0.120624,CT_2022_planning_regions,"Connecticut's 8 counties were replaced by 9 county-equivalent planning regions in 2022. Genuinely many-to-many (e.g. Naugatuck Valley draws towns from 4 old counties). Area weights built from CT-Data-Collaborative's town-level crosswalk + TIGER 2025 town land area. Population weights (population_share_of_predecessor/population_share_of_new_region, added 2026-07) use the same CT-Data-Collaborative crosswalk, weighted instead by each town's 2020 Census total population (P.L. 94-171 Redistricting File, POP100 field, downloaded unauthenticated from www2.census.gov -- no Census API key needed). The original area-based weight_basis/share columns are left unchanged for consumers where land-area weighting is the appropriate basis (e.g. land-use allocation)."
09005,09160,town_land_area,0.786449,0.920298,town_population_2020,0.545846,0.898492,CT_2022_planning_regions,"Connecticut's 8 counties were replaced by 9 county-equivalent planning regions in 2022. Genuinely many-to-many (e.g. Naugatuck Valley draws towns from 4 old counties). Area weights built from CT-Data-Collaborative's town-level crosswalk + TIGER 2025 town land area. Population weights (population_share_of_predecessor/population_share_of_new_region, added 2026-07) use the same CT-Data-Collaborative crosswalk, weighted instead by each town's 2020 Census total population (P.L. 94-171 Redistricting File, POP100 field, downloaded unauthenticated from www2.census.gov -- no Census API key needed). The original area-based weight_basis/share columns are left unchanged for consumers where land-area weighting is the appropriate basis (e.g. land-use allocation)."
09005,09190,town_land_area,0.084695,0.146508,town_population_2020,0.160795,0.047985,CT_2022_planning_regions,"Connecticut's 8 counties were replaced by 9 county-equivalent planning regions in 2022. Genuinely many-to-many (e.g. Naugatuck Valley draws towns from 4 old counties). Area weights built from CT-Data-Collaborative's town-level crosswalk + TIGER 2025 town land area. Population weights (population_share_of_predecessor/population_share_of_new_region, added 2026-07) use the same CT-Data-Collaborative crosswalk, weighted instead by each town's 2020 Census total population (P.L. 94-171 Redistricting File, POP100 field, downloaded unauthenticated from www2.census.gov -- no Census API key needed). The original area-based weight_basis/share columns are left unchanged for consumers where land-area weighting is the appropriate basis (e.g. land-use allocation)."
09007,09130,town_land_area,1.0,0.870764,town_population_2020,1.0,0.942718,CT_2022_planning_regions,"Connecticut's 8 counties were replaced by 9 county-equivalent planning regions in 2022. Genuinely many-to-many (e.g. Naugatuck Valley draws towns from 4 old counties). Area weights built from CT-Data-Collaborative's town-level crosswalk + TIGER 2025 town land area. Population weights (population_share_of_predecessor/population_share_of_new_region, added 2026-07) use the same CT-Data-Collaborative crosswalk, weighted instead by each town's 2020 Census total population (P.L. 94-171 Redistricting File, POP100 field, downloaded unauthenticated from www2.census.gov -- no Census API key needed). The original area-based weight_basis/share columns are left unchanged for consumers where land-area weighting is the appropriate basis (e.g. land-use allocation)."
